Age,LakeLevel
30102.37175329250,1265.2542372881400
30103.78183253900,1273.7288135593200
30055.698130234900,1284.7457627118600
30007.4734200062,1294.915254237290
30009.30652302660,1305.9322033898300
29961.081812797900,1316.1016949152500
29810.062325502700,1308.4745762711900
29658.619814433600,1298.3050847457600
29557.094108688900,1288.135593220340
29356.43983191860,1282.2033898305100
29208.381511040900,1292.3728813559300
29110.098987563100,1301.6949152542400
28959.079500267900,1294.0677966101700
28757.720183874300,1283.8983050847500
28657.181533602200,1279.6610169491500
28559.04001804900,1289.8305084745800
28510.815307820300,1300
28462.59059759160,1310.1694915254200
28364.59008996310,1321.1864406779700
28264.756479314100,1321.1864406779700
28213.147578893900,1311.0169491525400
28161.39767054910,1300
28109.788770128900,1289.8305084745800
27909.839532981700,1288.135593220340
27711.72339885500,1297.457627118640
27513.74827265290,1307.6271186440700
27412.504582757500,1299.1525423728800
27360.89568233730,1288.9830508474600
27309.286781917100,1278.813559322030
27210.017202966800,1282.2033898305100
27112.016695338300,1293.2203389830500
26963.958374460600,1303.3898305084700
26865.816858907500,1313.5593220339000
26815.054006035100,1308.4745762711900
26763.304097690300,1297.457627118640
26711.554189345400,1286.4406779661000
26659.94528892520,1276.2711864406800
26610.592515299400,1279.6610169491500
26512.45099974620,1289.8305084745800
26464.36729744210,1300.8474576271200
26415.014523816200,1304.2372881355900
26313.48881807160,1294.0677966101700
26311.65571505120,1283.050847457630
26211.117064779000,1278.813559322030
26113.116557150500,1289.8305084745800
25965.058236272900,1300
25866.9167207197,1310.1694915254200
25718.858399842100,1320.3389830508500
25620.857892213500,1331.3559322033900
25521.165289489300,1332.2033898305100
25519.47319439350,1322.0338983050800
25517.781099297800,1311.864406779660
25515.947996277400,1300.8474576271200
25514.25590118160,1290.677966101700
25512.5638060859,1280.5084745762700
25364.22346935900,1288.9830508474600
25166.248343156900,1299.1525423728800
25067.68380382980,1306.7796610169500
25016.21591133420,1297.457627118640
24964.466002989400,1286.4406779661000
24912.857102569200,1276.2711864406800
24814.151555317400,1283.050847457630
24666.09323443980,1293.2203389830500
24567.951718886600,1303.3898305084700
24469.387179559500,1311.0169491525400
24367.861473814800,1300.8474576271200
24316.111565470000,1289.8305084745800
24214.44485180070,1278.813559322030
24165.37409402410,1283.8983050847500
24067.232578470900,1294.0677966101700
23969.232070842400,1305.084745762710
23921.148368538300,1316.1016949152500
23872.92365830960,1326.2711864406800
23824.698948080900,1336.4406779661000
23776.615245776800,1347.457627118640
23678.47373022360,1357.6271186440700
23630.390027919600,1368.6440677966100
23582.165317690800,1378.8135593220300
23332.01725937000,1375.4237288135600
23380.523985448000,1366.9491525423700
23378.69088242760,1355.9322033898300
23426.774584731700,1344.915254237290
23474.858287035700,1333.8983050847500
23523.647028963000,1327.1186440678000
23274.9090498886,1332.2033898305100
23226.402323810600,1340.677966101700
23178.17761358190,1350.8474576271200
23130.093911277800,1361.864406779660
23031.952395724600,1372.0338983050800
22983.72768549590,1382.2033898305100
22935.643983191800,1393.2203389830500
22887.419272963100,1403.3898305084700
22789.41876533460,1414.406779661020
22741.194055105900,1424.5762711864400
22693.11035280180,1435.593220338980
22644.885642573100,1445.7627118644100
22595.53286894720,1449.1525423728800
22544.34699230100,1441.5254237288100
22543.2189289038,1434.7457627118600
22542.23187343130,1428.8135593220300
22540.96280210950,1421.186440677970
22489.91793338790,1414.406779661020
22488.789869990700,1407.6271186440700
22437.745001269100,1400.8474576271200
22338.898446092700,1406.7796610169500
22340.026509489800,1413.5593220339000
22291.237767562500,1420.3389830508500
22292.365830959700,1427.1186440678000
22293.493894356900,1433.8983050847500
22244.846160354200,1441.5254237288100
22245.97422375140,1448.3050847457600
22197.044473899400,1454.2372881355900
22148.396739896800,1461.864406779660
22149.524803293900,1468.6440677966100
22100.736061366600,1475.4237288135600
22002.030514114900,1482.2033898305100
21903.183958938500,1488.135593220340
21804.61941961140,1495.7627118644100
21654.869003638,1495.7627118644100
21553.907329591900,1488.9830508474600
21452.945655545800,1482.2033898305100
21301.785160326000,1473.7288135593200
21302.772215798500,1479.6610169491500
21253.983473871200,1486.4406779661000
21205.194731943900,1493.2203389830500
21156.405990016600,1500
21107.617248089300,1506.7796610169500
20808.962463690500,1511.864406779660
20460.249866042500,1516.1016949152500
20161.313065794300,1519.4915254237300
19812.600468146300,1523.7288135593200
19463.887870498300,1527.9661016949200
19363.06720437690,1522.0338983050800
19212.18872500630,1515.2542372881400
19111.227050960300,1508.4745762711900
18960.912603288300,1505.084745762710
18959.92554781580,1499.1525423728800
18911.982853436400,1511.0169491525400
18863.335119433700,1518.6440677966100
18814.405369581800,1524.5762711864400
18765.616627654500,1531.3559322033900
18667.05208832740,1538.9830508474600
18518.288727826500,1544.915254237290
18419.58318057470,1551.6949152542400
18319.326546151900,1549.1525423728800
18368.115288079200,1542.3728813559300
18317.07041935760,1535.593220338980
18365.859161284900,1528.8135593220300
18314.67328463860,1521.1864406779700
18313.545221241400,1514.406779661020
18312.417157844300,1507.6271186440700
18311.2890944471,1500.8474576271200
18310.161031049900,1494.0677966101700
18309.032967652800,1487.2881355932200
18307.90490425560,1480.508474576270
18306.77684085850,1473.7288135593200
18305.50776953660,1466.1016949152500
18304.379706139500,1459.322033898310
18303.251642742300,1452.542372881360
18302.123579345200,1445.7627118644100
18300.995515948000,1438.9830508474600
18299.72644462620,1431.3559322033900
17900.392002030500,1431.3559322033900
17751.20561775570,1434.7457627118600
17301.813361910900,1433.8983050847500
17252.883612059000,1439.8305084745800
16953.805803886200,1442.3728813559300
16903.183958938500,1438.135593220340
16604.529174539600,1443.2203389830500
16255.39355311770,1444.915254237290
16155.136918694800,1442.3728813559300
15856.20011844670,1445.7627118644100
15705.462647000800,1439.8305084745800
15604.500972954700,1433.050847457630
15503.539298908600,1426.2711864406800
15402.718632787200,1420.3389830508500
15301.756958741100,1413.5593220339000
15200.65427677040,1405.9322033898300
15099.833610648900,1400
14999.012944527500,1394.0677966101700
14847.993457232300,1386.4406779661000
14796.948588510700,1379.6610169491500
14696.12792238920,1373.7288135593200
14595.166248343100,1366.9491525423700
14494.06356637240,1359.322033898310
14393.242900251000,1353.3898305084700
14292.14021828030,1345.7627118644100
14191.31955215880,1339.8305084745800
14090.357878112700,1333.0508474576300
13989.396204066700,1326.2711864406800
13888.575537945200,1320.3389830508500
13787.613863899100,1313.5593220339000
13686.652189853100,1306.7796610169500
13585.549507882300,1299.1525423728800
13484.728841760900,1293.2203389830500
13383.626159790200,1285.593220338980
12934.233903945400,1284.7457627118600
11935.897797456200,1284.7457627118600
10987.478496291500,1284.7457627118600
10088.976000451200,1284.7457627118600
9090.63989396203,1284.7457627118600
8192.137398121770,1284.7457627118600
7243.71809695704,1284.7457627118600
6345.215601116780,1284.7457627118600
5396.79629995205,1284.7457627118600
4498.293804111790,1284.7457627118600
3499.9576976226000,1284.7457627118600
2551.5383964578700,1284.7457627118600
1653.0359006176000,1284.7457627118600
704.6165994528780,1284.7457627118600