cal.date,enso.count
-100,4
-200,7
-300,14
-400,4
-500,11
-600,40
-700,36
-800,48
-900,42
-1000,8
-1100,1
-1200,14
-1300,4
-1400,1
-1500,6
-1600,34
-1700,1
-1800,3
-1900,0
-2000,9
-2100,1
-2200,2
-2300,0
-2400,0
-2500,19
-2600,35
-2700,16
-2800,8
-2900,18
-3000,36
-3100,21
-3200,39
-3300,16
-3400,31
-3500,0
-3600,0
-3700,2
-3800,2
-3900,4
-4000,1
-4100,2
-4200,0
-4300,1
-4400,15
-4500,3
-4600,23
-4700,19
-4800,37
-4900,27
-5000,4
-5100,3
-5200,3
-5300,5
-5400,7
-5500,5
-5600,3
-5700,4
-5800,0
-5900,21
-6000,1
-6100,1
-6200,4
-6300,5
-6400,4
-6500,3
-6600,1
-6700,1
-6800,0
-6900,2
-7000,1
-7100,0
-7200,0
-7300,2
-7400,0
-7500,3
-7600,0
-7700,3
-7800,0
-7900,9
-8000,0
-8100,0
-8200,0
-8300,0
-8400,1
-8500,0
-8600,0
-8700,0
-8800,2
-8900,0
-9000,0
-9100,0
-9200,0
-9300,0
-9400,0
-9500,2
-9600,0
-9700,0
-9800,0
-9900,2
-10000,3
-10100,0
-10200,0
-10300,0
-10400,0
-10500,1
-10600,4
-10700,1
-10800,1
-10900,0
-11000,0
-11100,0
-11200,0
-11300,0
-11400,0
-11500,85
-11600,99
-11700,100
-11800,99
-11900,99
-12000,99
-12100,100
-12200,99
-12300,99
-12400,100
-12500,99
-12600,99
-12700,99
-12800,100