Age,   Temp 
49981,-39.9694
49922,-39.8165
49868,-40.1018
49806,-40.2651
49746,-40.5505
49690,-40.4792
49635,-40.6523
49579,-41.0297
49521,-41.152
49470,-41.4679
49418,-41.5596
49358,-41.3661
49293,-41.4373
49228,-41.6921
49167,-43.1498
49095,-43.7514
49026,-43.5881
48964,-42.8847
48901,-42.8135
48833,-43.1905
48769,-43.792
48709,-44.0266
48638,-44.1896
48570,-44.2713
48499,-44.3731
48438,-44.2609
48377,-43.996
48317,-43.6798
48251,-43.6391
48189,-44.0266
48121,-44.1489
48059,-44.2713
47992,-44.8012
47930,-44.9031
47868,-44.9642
47805,-44.7502
47742,-45.1376
47687,-45.2294
47626,-44.4037
47567,-43.9245
47504,-44.4037
47429,-46.6667
47345,-47.4618
47283,-46.7789
47230,-44.7196
47184,-42.2936
47124,-42.5483
47064,-42.8645
47004,-42.7728
46949,-41.7942
46892,-42.1713
46826,-43.1905
46759,-44.2508
46702,-45.311
46638,-45.1376
46569,-44.7554
46482,-47.4924
46401,-49.2966
46312,-49.6535
46232,-49.5312
46153,-49.1896
46062,-49.5872
45977,-49.1232
45897,-48.889
45825,-47.9205
45759,-47.941
45693,-48.2364
45623,-48.9703
45558,-49.3578
45500,-49.0927
45440,-42.5306
45440,-44.8523
45398,-39.2049
45321,-35.8003
45277,-36.3914
45235,-36.9419
45189,-37.1177
45189,-37.4517
45145,-37.5382
45066,-37.8187
45025,-38.0939
44979,-37.8593
44933,-37.9511
44888,-38.522
44843,-38.6034
44799,-39.0214
44755,-39.2866
44714,-39.8266
44667,-39.837
44621,-39.8471
44580,-40.2346
44530,-40.3058
44477,-40.7239
44431,-40.367
44382,-40.367
44337,-40.5505
44294,-41.0398
44248,-41.5596
44202,-42.263
44149,-43.3128
44093,-44.0774
44041,-44.1489
43982,-43.5985
43925,-43.5679
43863,-44.3731
43808,-44.9236
43748,-45.3823
43687,-45.1376
43631,-45.4333
43570,-45.4841
43515,-46.0346
43451,-45.3517
43394,-44.3731
43343,-43.2621
43295,-44.8725
43241,-47.2988
43180,-49.582
43123,-50.3465
43069,-50.6829
43005,-50.6321
42943,-50.8257
42877,-51.3761
42814,-51.8349
42751,-52.0284
42686,-51.2437
42619,-48.0529
42572,-44.2303
42524,-41.5291
42479,-40.581
42431,-40.8052
42390,-40.1223
42347,-40.4486
42296,-40.8462
42246,-41.478
42196,-41.6208
42153,-41.3456
42100,-41.4578
42052,-42.5688
42002,-43.782
41946,-45.0153
41895,-45.4434
41840,-45.678
41783,-45.1275
41733,-45.5453
41683,-47.4413
41634,-49.8165
41582,-51.2437
41535,-51.1927
41471,-50.9275
41419,-50.4281
41363,-49.9694
41312,-49.2661
41261,-48.2263
41210,-44.944
41170,-42.0284
41129,-40.2957
41084,-40.9174
41047,-42.1508
41002,-43.0887
40954,-43.415
40903,-43.007
40861,-42.793
40819,-44.0673
40775,-45.9428
40726,-47.4924
40687,-49.4902
40644,-49.8777
40600,-50.7239
40558,-49.2761
40506,-49.3783
40460,-48.5832
40409,-48.1856
40357,-48.1346
40288,-46.6361
40232,-45.311
40172,-44.1284
40106,-46.0651
40044,-48.1346
39971,-50.3976
39890,-50.9633
39809,-51.0703
39716,-51.9878
39630,-51.9367
39551,-50.6575
39469,-49.9083
39385,-50.4434
39302,-50.4587
39221,-50.8052
39142,-50.7239
39064,-51.0297
38990,-51.3303
38909,-51.0602
38831,-50.2599
38749,-49.9899
38677,-49.7758
38603,-48.9092
38537,-48.2263
38470,-44.5667
38413,-41.0908
38358,-37.7982
38307,-37.319
38239,-37.4924
38170,-37.9817
38100,-38.6443
38031,-39.3578
37968,-39.3578
37905,-39.1132
37842,-39.215
37779,-38.8991
37722,-38.8685
37668,-39.0009
37612,-39.9694
37557,-40.4382
37507,-40.53
37452,-40.6829
37397,-40.6217
37342,-40.581
37285,-40.3058
37230,-40.3771
37181,-41.1009
37127,-41.5697
37073,-41.6208
37019,-41.5086
36965,-41.2844
36912,-41.5902
36860,-42.1612
36807,-43.1498
36747,-44.9746
36690,-45.5758
36629,-46.4119
36574,-46.6361
36519,-45.4229
36464,-44.6994
36414,-43.8125
36366,-44.4648
36312,-45.2089
36264,-47.1765
36209,-49.1336
36154,-50.3159
36099,-50.7645
36044,-51.3661
35981,-51.6208
35923,-51.2232
35865,-51.5086
35808,-52.9969
35744,-52.8339
35671,-52.5587
35609,-51.2232
35547,-50.9379
35485,-50.8563
35423,-50.5098
35362,-48.5728
35308,-45.0153
35270,-41.4168
35223,-40.2853
35185,-40.1122
35141,-40.9991
35100,-41.2743
35058,-41.2639
35010,-40.8156
34965,-41.3661
34922,-41.9572
34879,-43.3333
34830,-44.3119
34782,-45.5658
34733,-45.4434
34685,-45.2599
34629,-45.3416
34584,-45.7798
34534,-47.8798
34474,-49.1642
34415,-50.6422
34348,-50.3875
34284,-50.948
34224,-50.4893
34158,-50.163
34092,-49.4801
34026,-49.6229
33960,-49.3272
33894,-49.1844
33829,-49.3373
33759,-49.6229
33691,-46.952
33625,-43.1398
33558,-40.8868
33493,-41.6309
33425,-42.8034
33357,-42.9664
33289,-43.1092
33220,-43.945
33151,-45.6269
33082,-48.9196
33019,-51.2844
32951,-52.844
32883,-53.048
32815,-53.2416
32745,-53.048
32676,-52.2936
32609,-52.1612
32544,-51.3661
32476,-50.8868
32410,-48.0327
32346,-45.0459
32283,-41.6309
32221,-40.6933
32161,-40.9581
32099,-41.3661
32041,-42.3752
31981,-42.8034
31926,-43.9655
31866,-44.9236
31806,-46.3609
31746,-47.3599
31681,-48.6544
31619,-50.1018
31559,-51.0193
31497,-51.6921
31433,-51.4985
31369,-52.2324
31305,-52.0489
31241,-52.5177
31178,-52.3343
31113,-51.4985
31046,-51.4884
30980,-51.2743
30914,-52.1814
30852,-52.5587
30783,-51.7532
30721,-51.5596
30657,-49.6535
30596,-49.3884
30536,-49.2049
30468,-50.1734
30401,-50.8969
30336,-51.0092
30271,-52.3648
30206,-52.8746
30140,-53.0786
30070,-52.3954
30005,-53.1905
29938,-53.3028
29878,-53.2621
29817,-53.048
29744,-53.5933
29662,-52.5994
29586,-51.7226
29506,-51.478
29437,-50.8462
29375,-50.53
29315,-50.0511
29253,-50.948
29187,-50.5404
29125,-48.7361
29071,-44.6584
29028,-41.7125
28979,-39.0725
28929,-40.163
28881,-40.3771
28836,-41.7226
28789,-41.845
28742,-44.6278
28687,-47.37
28628,-50.5606
28578,-50.9275
28517,-49.8572
28455,-49.1336
28392,-49.5514
28325,-50.6422
28255,-51.3661
28181,-50.6728
28104,-50.367
28025,-48.318
27944,-45.2294
27882,-41.3557
27828,-38.267
27774,-38.7156
27720,-39.5924
27671,-40.8156
27614,-40.9786
27559,-43.1599
27489,-45.7187
27419,-48.6951
27346,-49.6025
27277,-49.419
27207,-48.5832
27145,-48.1141
27085,-48.7563
27018,-48.7055
26956,-48.6443
26892,-48.1245
26831,-48.7972
26768,-49.9899
26710,-49.3783
26647,-49.215
26583,-48.7156
26513,-49.4902
26445,-49.8471
26374,-49.0725
26309,-48.7361
26242,-47.3905
26175,-48.3385
26110,-48.522
26043,-50.2957
25973,-49.8572
25901,-49.7758
25831,-49.6431
25766,-51.3966
25700,-52.8135
25630,-53.5474
25563,-52.0896
25495,-50.418
25426,-49.6431
25361,-49.5413
25294,-50.0407
25229,-49.6942
25164,-48.9603
25099,-47.4211
25037,-47.4312
24976,-48.3997
24910,-51.0193
24841,-50.7239
24780,-51.5697
24714,-50.581
24653,-51.2538
24591,-49.3171
24531,-48.9603
24463,-48.5015
24401,-49.6125
24337,-50.5199
24267,-51.2639
24208,-52.4872
24153,-53.1499
24098,-53.415
24038,-53.3945
23986,-53.0887
23934,-52.8541
23874,-52.9257
23814,-52.3242
23753,-52.5177
23694,-51.152
23630,-51.2437
23566,-49.5312
23505,-47.8287
23444,-43.9755
23392,-42.2119
23341,-43.211
23297,-46.1468
23247,-48.9502
23185,-49.2966
23133,-49.47
23082,-47.7777
23028,-45.4333
22974,-43.8327
22926,-44.73
22871,-47.1459
22815,-48.1245
22763,-48.267
22707,-48.5526
22650,-49.0419
22595,-48.9398
22538,-48.1651
22481,-48.1856
22421,-48.889
22359.5,-49.47
22298.5,-48.8174
22251.5,-48.0021
22186.5,-47.4719
22138.5,-48.0835
22090.5,-48.6138
22035.5,-48.7055
21979.5,-49.1538
21916,-48.7869
21856,-49.2254
21793,-48.1346
21727,-49.0315
21671,-49.256
21612,-50.4893
21556,-49.9183
21502,-49.5514
21449,-49.0725
21396,-49.8572
21345,-50.4893
21292,-50.6321
21239,-49.6942
21191,-49.2355
21137,-48.9603
21087,-48.7972
21036,-48.3997
20982,-48.4609
20926,-48.0428
20877,-47.6248
20830,-47.2272
20774,-47.4719
20721,-46.585
20671,-45.5862
20621,-44.5055
20572,-45.5147
20526,-44.9541
20478,-45.0664
20425,-45.1275
20376,-46.7991
20331,-48.3691
20281,-48.3079
20233,-47.533
20188,-47.0236
20144,-46.4933
20099,-46.3609
20051,-45.7492
20007,-45.311
19954,-45.9226
19904,-45.9939
19858,-46.5749
19812,-45.9122
19761,-46.045
19708,-45.637
19658,-45.3517
19602,-45.0664
19560,-45.3211
19511,-45.4841
19466,-45.4028
19422,-45.0459
19382,-45.0664
19336,-44.6177
19293,-43.7309
19253,-42.9257
19210,-42.6606
19167,-42.9664
19126,-43.8431
19077,-43.8226
19033,-43.8327
18980,-43.2009
18927,-43.2722
18877,-43.6492
18819,-43.9349
18767,-43.3128
18715,-43.9144
18663,-44.4343
18610,-45.9838
18563,-45.1477
18514,-44.8523
18464,-43.5373
18408,-44.108
18360,-44.1385
18317,-44.4749
18266,-43.9755
18216,-43.6291
18165,-44.2914
18116,-44.689
18071,-44.4853
18019,-43.8838
17970,-43.3232
17920,-43.578
17869,-44.8725
17821,-45.8817
17776,-46.3202
17730,-45.7697
17684,-44.8113
17638,-44.2303
17593,-43.5168
17548,-44.73
17503,-44.6994
17458,-44.7502
17416,-43.8021
17374,-44.6584
17333,-44.7502
17284,-45.0229
17284,-44.6076
17245,-45.8181
17169,-47.7777
17127,-48.2162
17083,-47.6352
17042,-48.3691
16998,-47.4159
16998,-47.5229
16960,-47.0795
16919,-45.1453
16885,-45.734
16845,-45.2982
16813,-45.9404
16773,-47.3318
16740,-47.0872
16702,-47.5382
16662,-46.9037
16629,-47.0642
16553,-47.6352
16510,-47.2171
16465,-46.2997
16465,-46.6055
16389,-45.8104
16389,-45.4639
16348,-45.841
16314,-45.7034
16274,-46.1621
16236,-45.6957
16159,-45.5557
16115,-45.2193
16072,-45.6881
16033,-47.0948
15990,-48.481
15946,-49.2661
15946,-49.5413
15903,-48.8609
15825,-47.5434
15784,-46.626
15740,-47.1789
15740,-46.7073
15660,-47.4823
15618,-46.0245
15579,-44.9694
15579,-44.7606
15535,-45.3364
15500,-45.344
15420,-45.5046
15375,-45.1171
15333,-44.7706
15292,-44.1361
15292,-44.6789
15250,-43.4327
15214,-43.448
15176,-42.8899
15142,-43.6162
15108,-44.3425
15074,-44.6636
15035,-45.2141
15001,-45.107
14968,-45.2829
14932,-45.5581
14897,-45.0153
14860,-44.633
14824,-44.6713
14788,-44.5872
14749,-44.3043
14711,-42.8073
14688,-41.1621
14669,-38.267
14669,-38.9847
14648,-36.1061
14629,-34.6177
14612,-33.7055
14596,-33.1551
14580,-32.9795
14565,-32.2719
14548,-31.7737
14532,-32.1144
14516,-31.992
14500,-32.3765
14485,-32.7917
14470,-33.3281
14454,-34.1997
14436,-34.2713
14419,-34.5055
14401,-34.2303
14384,-34.1031
14369,-34.2813
14352,-34.256
14334,-34.3884
14318,-34.9388
14299,-35.8205
14281,-36.4168
14261,-37.2018
14244,-37.7012
14225,-38.1703
14206,-38.3893
14187,-38.3792
14171,-39.4291
14131,-40.3425
14110,-41.6024
14081,-42.6422
14051,-42.9908
14031,-41.792
14010,-40.8012
13988,-39.6697
13969,-39.0153
13947,-38.7829
13924,-39.3761
13902,-39.37
13882,-39.37
13862,-39.1795
13862,-39.2355
13841,-39.1437
13821,-38.9144
13802,-38.8939
13762,-39.0031
13742,-39.2294
13720,-40.1162
13697,-40.4771
13672,-40.526
13647,-40.0306
13625,-39.2966
13625,-39.6758
13605,-38.6034
13588,-38.4303
13547,-38.5138
13527,-39.0398
13504,-39.3211
13482,-39.6147
13460,-39.0581
13436,-39.578
13416,-39.9817
13393,-40.6055
13366,-41.2049
13344,-42.2569
13316,-43.3639
13291,-43.8165
13262,-45.0841
13236,-46.1774
13205,-46.2156
13173,-45.7645
13145,-45.0092
13122,-44.2569
13102,-43.1376
13079,-41.9083
13055,-41.5535
13035,-41.0703
13014,-41.156
12993,-41.3517
12973,-42.104
12948,-44.1208
12920,-45.9021
12887,-48.0428
12854,-49.2049
12817,-49.6483
12779,-49.5107
12745,-49.5489
12705,-50.13
12666,-49.7706
12628,-49.4878
12588,-48.9679
12550,-48.3945
12511,-48.1575
12475,-48.1881
12438,-48.3028
12401,-47.6758
12322,-47.5306
12322,-47.3801
12280,-47.2018
12246,-47.6223
12213,-47.7217
12174,-47.3471
12140,-46.9954
12104,-46.2844
12063,-46.5673
12029,-46.6132
11993,-46.4908
11959,-47.737
11922,-47.6911
11889,-47.6682
11857,-48.3028
11823,-47.1024
11790,-46.4679
11755,-46.8731
11723,-45.4358
11690,-44.3364
11666,-41.5342
11666,-42.4037
11647,-39.8676
11628,-37.8034
11611,-36.6413
11594,-36.152
11576,-36.3355
11558,-35.8969
11542,-35.8847
11527,-36.5226
11512,-36.6187
11496,-36.6361
11479,-37.3495
11462,-38.0428
11446,-38.7563
11427,-38.8125
11408,-39.4547
11389,-39.4242
11371,-38.7716
11354,-38.3945
11339,-37.7728
11324,-37.7459
11307,-36.422
11289,-36.3661
11274,-35.8061
11258,-35.4609
11243,-35.3954
11229,-35.4566
11213,-35.3691
11197,-35.4523
11180,-35.3911
11163,-35.9939
11149,-36.304
11135,-36.3914
11120,-36.0682
11101,-35.9327
11087,-36.208
11071,-36.2211
11057,-35.7361
11039,-35.618
11025,-35.3474
11011,-35.4523
10995,-35.404
10980,-35.1465
10965,-34.963
10951,-35.544
10937,-35.5352
10921,-35.5526
10891,-35.1263
10877,-35.0771
10862,-35.0468
10847,-35.0125
10833,-34.9272
10819,-34.8006
10819,-34.8495
10806,-34.6954
10792,-34.5911
10762,-34.3801
10762,-34.415
10747,-34.2847
10734,-34.204
10720,-34.1251
10706,-34.0437
10692,-33.9459
10678,-33.8551
10662,-33.7566
10648,-33.6404
10634,-33.5587
10620,-33.4807
10606,-33.389
10593,-33.3263
10580,-33.2725
10565,-33.2541
10551,-33.1918
10537,-33.1569
10522,-33.0783
10509,-33.0171
10494,-32.9755
10481.4,-32.9346
10468.3,-32.8847
10468.3,-32.9067
10452.8,-32.8578
10439.9,-32.8025
10439.9,-32.83
10428,-32.7609
10414.1,-32.6914
10401.6,-32.6119
10389.7,-32.5263
10364.3,-32.3982
10350.2,-32.2957
10336.3,-32.2064
10323.8,-32.1138
10313.2,-32.0223
10300.1,-31.9245
10288,-31.8275
10276.1,-31.7171
10264.1,-31.5973
10252.1,-31.4752
10239.2,-31.3544
10225.5,-31.2422
10212.4,-31.1572
10199.1,-31.0648
10186.2,-30.9667
